"seller_id";"average_delivery_time_delayed";"number_of_delayed_orders";"number_of_orders";"percentage"
"8d899e15a5925f097cca50faa49b15e3";9.0;6;10;0.6
"b1b3948701c5c72445495bd161b83a4c";29.4444;9;18;0.5
"2709af9587499e95e803a6498a5a56e9";15.6957;23;47;0.4894
"fce62094ffe6a4009188ec44e681dfdd";33.0;5;11;0.4545
"c42fd8e4d47dfb18ce5222f2dd7752f9";54.0;5;11;0.4545
"c37b2059d4f90d4feead554e5246565e";28.2857;7;16;0.4375
"312ba1d77e9c332ef21f9598b7f64cd7";37.5;4;10;0.4
"c990d6cf976a5718aaedc539f383ab88";35.25;4;11;0.3636
"26e2c91ef821e1ff8985f408788fe35b";45.0;5;14;0.3571
"973f21788dfab357250f69a8dcb7ddee";30.1429;7;21;0.3333
"cb41bfbcbda0aea354a834ab222f9a59";78.5;4;12;0.3333
"7210cd29727d674c00741e5e387b3ccd";8.0;4;13;0.3077
"8bd0e3abda539b9479c4b44a691be1ec";38.5;4;13;0.3077
"54965bbe3e4f07ae045b90b0b8541f52";52.0769;26;86;0.3023
"ede0c03645598cdfc63ca8237acbe73d";31.2;15;50;0.3
"7f152321c60a266edc53af1925ef96c1";48.3333;6;20;0.3
"13fa2a6c6b9d0f43cb588d7c82117a12";39.3333;3;10;0.3
"e1b12447a7563944843191754aeb5562";28.3333;3;10;0.3
"3e8bd881d92466e63ba9e3e809cd3c50";21.3333;3;10;0.3
"c4d51195486dc781531876a7d00453d8";35.6;5;17;0.2941
"02dcd3e8e25bee036e32512bcf175493";29.0;5;17;0.2941
"c1ed9e3daf6154542826a6996af0fb8c";27.0;5;17;0.2941
"f76a3b1349b6df1ee875d1f3fa4340f0";29.8571;7;24;0.2917
"822bad9bc42b51213ba522fe87b7ab5d";51.4;5;18;0.2778
"821fb029fc6e495ca4f08a35d51e53a5";31.125;8;29;0.2759
"2a1348e9addc1af5aaa619b1a3679d6b";65.0;15;55;0.2727
"ad781527c93d00d89a11eecd9dcad7c1";37.8333;12;44;0.2727
"054694fa03fe82cec4b7551487331d74";65.0;6;22;0.2727
"eb4df17aed01d918c65f0f8d650900c0";19.0;3;11;0.2727
"656591be56071d4c9ef4e5fee78a578a";16.3333;3;11;0.2727
"91f0eec23d4a61d7d7caeefa3f0ad1ca";54.3333;3;11;0.2727
"3a1a1fec38dd360f15fc912e821e169d";24.75;4;15;0.2667
"2e1a7d075abe038c1b2743005fe42ff1";26.0;6;23;0.2609
"835f0f7810c76831d6c7d24c7a646d4d";25.7692;13;50;0.26
"b19f3ca2ea475913750f25a5c37c8d8f";30.8333;6;24;0.25
"02d35243ea2e497335cd0f076b45675d";39.75;4;16;0.25
"b0b346d3a89f5eb4c2968af3f083cd43";46.0;3;12;0.25
"b5abf4f36adc043117b4fca82c22984c";36.3333;3;12;0.25
"e504a4e2efaa45cbff7e268a2c58c956";22.3333;3;12;0.25
"e64d65bc8dbec2accda90c58de5d1246";20.6667;3;12;0.25
"71039d19d4303bf9054d69e9a9236699";23.5556;9;38;0.2368
"5b0cc932433fa5184b5b94bfe6bcc256";17.25;4;17;0.2353
"a066df7361163e7ddc5d7452dd17448b";26.75;4;17;0.2353
"5b581417df4480f632484ba681e53944";35.3333;3;13;0.2308
"0417b067eeab773d2f7061a726dc477f";35.3333;3;13;0.2308
"5abb8ea023c77787f2c15da891c8d384";35.6667;3;13;0.2308
"8378eb36b6b70c5734e83ad7b8cdc3b7";36.0;3;13;0.2308
"bbad7e518d7af88a0897397ffdca1979";27.3684;19;85;0.2235
"1dfe5347016252a7884b694d4f10f5c4";32.3333;6;27;0.2222
"beadbee30901a7f61d031b6b686095ad";28.3333;15;68;0.2206
"6ec1a01e866584bb679eb9b098345919";31.5714;7;32;0.2188
"5f67c6082caacb26e431a7b17940cece";39.6667;3;14;0.2143
"7fc87cc3e89b3d1d5cabdca32f8485aa";25.0;3;14;0.2143
"6039e27294dc75811c0d8a39069f52c0";29.25;16;75;0.2133
"a44fb5a447105f8469bdf16bf9159f25";30.25;4;19;0.2105
"ecccfa2bb93b34a3bf033cc5d1dcdc69";54.25;4;19;0.2105
"a49928bcdf77c55c6d6e05e09a9b4ca5";30.4545;22;106;0.2075
"ef990a83bbea832f36ebe81376335aa8";32.1111;9;44;0.2045
"4e5725ba188db8252977a4f0227bd462";36.2;5;25;0.2
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b";31.5;4;20;0.2
"13074f016982ff2bd6c58ced8682f000";32.0;3;15;0.2
"fdaaf5bfda82b7b80535610c831b8d09";28.0;3;15;0.2
"851773c885feb5e2da3b4f82bc2b17ce";40.0;2;10;0.2
"9449f25aeaf531019b76999ea49a6949";22.0;2;10;0.2
"c878515173c84a492ebe50d6b493230b";33.0;2;10;0.2
"2aa3443d7bf9d9bb11133f420d75e083";14.5;2;10;0.2
"76c47a299e4a8fe992316a85865acbe9";40.0;2;10;0.2
"ab3e0c171fe84a7ba7de130f19cfb485";27.5;2;10;0.2
"a13580f0e8f782b7a543885a0ef99f08";33.0;2;10;0.2
"3d4824f20035949c710eaf111f869d39";13.0;2;10;0.2
"406740ee611378a662d274c7d8c43c4a";25.0;2;10;0.2
"712e6ed8aa4aa1fa65dab41fed5737e4";55.8235;17;87;0.1954
"2a261b5b644fa05f4f2700eb93544f2c";33.0;16;82;0.1951
"66e0557ecc2b4dbea057e93f215f68d8";39.6667;6;31;0.1935
"602044f2c16190c2c6e45eb35c2e21cb";31.9091;11;57;0.193
"06a2c3af7b3aee5d69171b0e14f0ee87";30.7308;78;405;0.1926
"ea566164622c6b439516ab18062c42cd";32.7;10;52;0.1923
"5bc55dbe2f12b6af6d83ed46023e0dc8";31.75;4;21;0.1905
"0d85bbda9889ce1f7e63778d24f346eb";39.4545;11;58;0.1897
"86bb7c4b535e49a541baf3266b1c95b1";54.3333;3;16;0.1875
"55bb6fe5bebe5012e2d7d9928e1128ff";36.3333;3;16;0.1875
"3fd1e727ba94cfe122d165e176ce7967";30.5714;7;38;0.1842
"5011f0d93373a4c5753adf58ca77af8d";45.0;4;22;0.1818
"1b7e5006cb25dd23ce8686691013b121";18.5;2;11;0.1818
"0249d282d911d23cb8b869ab49c99f53";23.5;2;11;0.1818
"fa74b2f3287d296e9fbd2cc80f2d1cf1";43.0;2;11;0.1818
"d32e3909cfb714fb2a6cb092c85b9c5f";37.5;2;11;0.1818
"20b54c376b794ed028df09a3cd88e8dc";31.5;2;11;0.1818
"39c763cca83e654764b7a4a650fb9b7c";35.5;2;11;0.1818
"cac4c8e7b1ca6252d8f20b2fc1a2e4af";49.8667;15;83;0.1807
"921323538c9f1c4e816f2720eac02bea";18.6667;3;17;0.1765
"9c068d10aca38e85c50202e17b4a7e88";35.6667;3;17;0.1765
"cd68562d3f44870c08922d380acae552";34.6957;23;132;0.1742
"2a61c271b1ac763450d846849783e922";30.75;4;23;0.1739
"b64d51f0435e884e8de603b1655155ae";8.5;4;23;0.1739
"f593898ec748b7a8cb81fc04edafd98a";43.0;4;23;0.1739
"834f8533b2ecb6598dd004ff3de7203a";30.0;8;47;0.1702
"ec8879960bd2221d5c32f8e12f7da711";36.3333;6;36;0.1667
"70849ca4f400aaabb62cb7462a6f1428";27.5;2;12;0.1667
"b55638ad525e906c698fa2ce742c1742";33.5;2;12;0.1667
"d17f467e4bf608a510c20d82f4ba3b6b";20.5;2;12;0.1667
"2dcf93836ae3ce0d7c93e2f10876467a";6.5;2;12;0.1667
"ccb83a794700270fde70898fe9ff368b";39.0;2;12;0.1667
"bd15ee794d5e640d9dd71b665b2ab15b";34.5;2;12;0.1667
"8ca1551acf9832a4cf467bbbac15851f";44.0;2;12;0.1667
"59cd88080b93f3c18508673122d26169";29.0;2;12;0.1667
"99a54764c341d5dc80b4a8fac4eba3fb";12.9091;11;67;0.1642
"002100f778ceb8431b7a1020ff7ab48f";31.3333;9;55;0.1636
"3c03b12bab54d8b37d79d914bfdb1aa0";28.1429;7;43;0.1628
"88460e8ebdecbfecb5f9601833981930";34.2449;49;302;0.1623
"dd55f1bb788714a40e7954c3be6df745";39.5;6;37;0.1622
"2c9e548be18521d1c43cde1c582c6de8";39.4643;28;174;0.1609
"56642bcb79900e777d68e91915cb4267";36.4444;9;56;0.1607
"d20b021d3efdf267a402c402a48ea64b";37.8235;17;106;0.1604
"abe42c5d03695b4257b5c6cbf4e6784e";35.875;8;50;0.16
"9f50216bfd01913736a55a11b55ea842";15.0;3;19;0.1579
"81336a0f57a33776419727a300249e90";32.3333;3;19;0.1579
"11bfa66332777660bd0640ee84d47006";35.0625;16;102;0.1569
"8931a84a914b3fe9b1ddaa4d704947ca";24.0;5;32;0.1563
"b74d1c09cb380e1d03a6f859c6f4224b";21.0;6;39;0.1538
"15aac934c58d886785ac1b17953ea898";35.25;4;26;0.1538
"6ee85be3693ed79a8e80718743d80655";48.0;2;13;0.1538
"36890be00bbfc1cdb9a4a38a6af05a69";10.0;2;13;0.1538
"bc07d855eac23aab5ac8a120f21d16b2";28.5;2;13;0.1538
"13f57c12a00ed4610db646b913a7f5c6";15.0;2;13;0.1538
"d9e7e7778b32987280a6f2cb9a39c57d";33.0;2;13;0.1538
"b3b17aab11f273023a5f22ca52e1eb70";39.0;2;13;0.1538
"e5a3438891c0bfdb9394643f95273d8e";32.9487;39;255;0.1529
"d93919c944be9cff128f6c9cb899eacb";55.0;5;33;0.1515
"099095b050cfe8eb1ddff5317587e96e";36.6667;3;20;0.15
"89bc797e2e29667aa035d4368f9b7f92";32.3333;3;20;0.15
"8160255418d5aaa7dbdc9f4c64ebda44";35.8906;64;431;0.1485
"3b872fd4747f01cc56206f2934198618";29.25;4;27;0.1481
"244c2f1bff6afe1f2eaf9bfe9b2aed38";32.25;4;27;0.1481
"b561927807645834b59ef0d16ba55a24";30.3571;14;95;0.1474
"850913d59ce317156b00f3705f1c3edb";24.0;5;34;0.1471
"e96498ed8daaa3e9c23f7a62da76591c";32.6;5;34;0.1471
"c60b801f2d52c7f7f91de00870882a75";28.0;6;41;0.1463
"5b8154610ebb21fb90eb587365e673df";28.5;6;41;0.1463
"0bf0150d5b9d60d9cd2906003332f085";38.0;9;62;0.1452
"05f51e13da97139648b8125c31e5f51b";29.6667;9;63;0.1429
"28f10b1c5e5abb9d4857745bede6147c";13.5;4;28;0.1429
"f63d8f293af3a6454377546bd9dd19ff";46.0;4;28;0.1429
"5b07547f10dd980738a1a27f685af669";8.0;2;14;0.1429
"6f229cc508fc6915ed5c499efd93baa4";20.0;2;14;0.1429
"ffeee66ac5d5a62fe688b9d26f83f534";31.0;2;14;0.1429
"a1474fd46fd3430168f7ec202da39408";36.5;2;14;0.1429
"e8a85b5f3df47be0984c55fd4064dbb4";25.0;2;14;0.1429
"e62b2d6ac10570a035a30bafcf01d263";31.4;10;71;0.1408
"432c37c9dfba871172ec162e20118b8c";31.0;8;57;0.1404
"b17b679f4f5ce2e03ce6968c62648246";36.0;8;57;0.1404
"0ed6ce5d87fd9c69eaacaeb778d67235";40.1667;6;43;0.1395
"6973a06f484aacf400ece213dbf3d946";32.0;16;115;0.1391
"1ca7077d890b907f89be8c954a02686a";26.6316;19;137;0.1387
"d97df38225e5abadaff1e72cb72b823c";34.25;4;29;0.1379
"e0878efa0e0b7e5313ac0b43bc04c081";40.5;4;29;0.1379
"900ba814c251a692506d7834c1218441";28.25;12;88;0.1364
"7b1222c3624aa89b9558b50a2594188c";33.6667;3;22;0.1364
"2156f2671501a81034d7d07f217609d0";26.6667;3;22;0.1364
"431af27f296bc6519d890aa5a05fdb11";33.9412;17;125;0.136
"238fac594e170b59c6d228f5a4f4f1d9";29.75;4;30;0.1333
"57c764b4a836300be881e2ff86e449f9";27.75;4;30;0.1333
"4aba391bc3b88717ce08eb11e44937b2";39.25;4;30;0.1333
"323ce52b5b81df2cd804b017b7f09aa7";33.25;4;30;0.1333
"3771c85bac139d2344864ede5d9341e3";22.0;4;30;0.1333
"ca4b77513ac2040591b0d8fae6958380";17.0;2;15;0.1333
"014c0679dd340a0e338872e7ec85666a";32.0;2;15;0.1333
"8b8cfc8305aa441e4239358c9f6f2485";26.0;2;15;0.1333
"655220df33262c7e0c4949a147366f94";43.5;2;15;0.1333
"4e8dacf3d38f281ae26c3e0321d92d88";25.0;2;15;0.1333
"bce6a5ecf98e99fd2a8868b15c51f04b";15.5;2;15;0.1333
"be8e909810184b9b19e886129149d8e5";37.5;2;15;0.1333
"8b9d6eec4a7eb7d0f9d579ce0b38324d";18.8571;7;53;0.1321
"adcf50477d6a1f5d91bb9d54c4903cb5";34.0;5;38;0.1316
"d3f39f05462b79a4562d35893a28f159";36.0;5;38;0.1316
"f7ba60f8c3f99e7ee4042fdef03b70c4";31.7;30;230;0.1304
"adbc26658d6c7b4b6219f9d934598091";38.0;12;92;0.1304
"f08c008c8a8d31417763738a1788a2a8";67.0;3;23;0.1304
"f918546be4bec7104d117789ba758b2b";29.0;3;23;0.1304
"082e0bf4cb865a6533b1e8e498cc0255";38.6667;3;23;0.1304
"440dd6ab244315c632130ecfb63827b1";38.8333;12;95;0.1263
"cee48807215b30a12ca2ca10ffb5f250";41.6;5;40;0.125
"11305281b50fff20ae8bb473f8e11876";25.6;5;40;0.125
"681fce914360217db47784ae28905a96";30.0;3;24;0.125
"7139dc5186aa238b006e066d8fbab2e4";41.3333;3;24;0.125
"23a0ffca143a15b9b5bbdb7d552f626a";29.0;3;24;0.125
"c4fb51fb1c5b7c07bc5e67be6e7e8f6e";33.0;2;16;0.125
"9906e7aa42a3c067b7c9a564d01c4320";44.0;2;16;0.125
"bbaff50f3b708fda865918715276cd87";23.0;2;16;0.125
"2d2c62bef4c8ba0dd74e0e228e808539";23.0;2;16;0.125
"c794dab4928dd97beb41d05514441e86";37.0;2;16;0.125
"8b28d096634035667e8263d57ba3368c";37.1053;19;155;0.1226
"891071be6ba827b591264c90c2ae8a63";31.25;12;98;0.1224
"ff1fb4c404b2efe68b03350a8dc24122";18.0;6;49;0.1224
"e2aee0892199b1d92530e371abd825bf";33.8;5;41;0.122
"c8467937e403e76a8ee9f0ab13f6f5ef";29.25;4;33;0.1212
"7e1fb0a3ebfb01ffb3a7dae98bf3238d";31.0;21;174;0.1207
"8f2ce03f928b567e3d56181ae20ae952";29.8095;21;175;0.12
"1eade46fba20122dc4aefb379f8c636b";37.1111;9;75;0.12
"e89c4adbe7b1d0819dbb636e16461cf1";38.3333;3;25;0.12
"855668e0971d4dfd7bef1b6a4133b41b";36.8718;39;327;0.1193
"3361277dc30b7cccdb0c286b24219756";26.8;5;42;0.119
"643214e62b870443ccbe55ab29a4dccf";20.875;8;68;0.1176
"048c2757535328e0d7dac690ad3c0aae";39.6667;6;51;0.1176
"53d00c40e32aeb924a84ce72b1af869d";41.0;2;17;0.1176
"b33aaadd1a8891d2dfef0c4c3bdf0371";44.5;2;17;0.1176
"afa6714acee029b2dfdf357e5579cc03";28.5;2;17;0.1176
"218f991754f360af9c2daa5e0b8e990c";39.5;2;17;0.1176
"3935fe5fe0f82787a9dcb8deb62be09d";25.5;2;17;0.1176
"e3a386fc36e22064434e1fa256f6a9fa";31.5;2;17;0.1176
"610f72e407cdd7caaa2f8167b0163fd8";29.0;2;17;0.1176
"b5e3e38609125694d2ea2417522a60b7";35.0;2;17;0.1176
"768a86e36ad6aae3d03ee3c6433d61df";11.0;2;17;0.1176
"04aa0a1c5ce6b222003403a3e11c3cc0";34.0;2;17;0.1176
"2e90cb1677d35cfe24eef47d441b7c87";27.4375;16;137;0.1168
"7aa4334be125fcdd2ba64b3180029f14";37.6429;28;240;0.1167
"903037660cf848a717166eb7a06d616e";38.1429;7;60;0.1167
"ba143b05f0110f0dc71ad71b4466ce92";23.5;10;86;0.1163
"b33e7c55446eabf8fe1a42d037ac7d6d";35.3333;18;155;0.1161
"b1fc4f64df5a0e8b6913ab38803c57a9";24.2857;14;121;0.1157
"34056b8b55c1775a22af2331670a799c";29.4444;9;78;0.1154
"0b35c634521043bf4b47e21547b99ab5";53.1111;9;78;0.1154
"a6fe7de3d16f6149ffe280349a8535a0";32.5;6;52;0.1154
"77a515caa36327151d1cc6c32a9f00e1";33.6667;3;26;0.1154
"fffd5413c0700ac820c7069d66d98c89";32.2857;7;61;0.1148
"b2479f944e1b90cf8a5de1bbfde284d6";36.2667;15;131;0.1145
"0ffa40d54288e4f3499b8780dd0f144f";31.0;4;35;0.1143
"ec4608a1f76453166bb312b2968aeaf4";35.75;4;35;0.1143
"7ad32824caee82087b3e2e5f33b1bf32";27.7619;21;184;0.1141
"c31eff8334d6b3047ed34bebd4d62c36";18.3571;14;123;0.1138
"972d0f9cf61b499a4812cf0bfa3ad3c4";34.5;10;88;0.1136
"2089a6d640999f9b9141ac719b2af596";36.8;5;44;0.1136
"318f287a62ab7ac10b703ac37435a231";28.0;7;62;0.1129
"59b22a78efb79a4797979612b885db36";32.1333;15;133;0.1128
"dd7ddc04e1b6c2c614352b383efe2d36";28.9375;16;143;0.1119
"75d34ebb1bd0bd7dde40dd507b8169c3";33.125;8;72;0.1111
"8b2492b7ff4468839593fafeed55bad9";62.6;5;45;0.1111
"4c8b8048e33af2bf94f2eb547746a916";54.3333;3;27;0.1111
"7586919161935337bf6b6d7ff5779648";53.5;2;18;0.1111
"e81e1f9c3e762e620f3fb60a51499e16";124.0;2;18;0.1111
"ad97a199236354e53fcd91a5a913e9a2";27.5;2;18;0.1111
"7d13fca15225358621be4086e1eb0964";35.7969;64;578;0.1107
"23c38debaffe4a25a30fdbd9b586a13f";27.4;5;46;0.1087
"2eb70248d66e0e3ef83659f71b244378";32.6957;23;212;0.1085
"1caf283236cd69af44cbc09a0a1e7d32";41.75;4;37;0.1081
"0725b8c0f3f906e58f70cbe76b7c748c";22.0;4;37;0.1081
"6fd52c528dcb38be2eea044946b811f8";38.3333;9;84;0.1071
"f3da5b2ff499efb8d4a6d371d175d7dd";34.0;9;84;0.1071
"c0563dd588b775f2e37747ef6ad6c92c";22.0;3;28;0.1071
"897060da8b9a21f655304d50fd935913";33.4783;46;430;0.107
"b499c00f28f4b7069ff6550af8c1348a";31.7;20;187;0.107
"406822777a0b9eb5c50e442dd4cd3ec5";30.4;5;47;0.1064
"056b4ada5bbc2c50cc7842547dda6b51";42.8571;7;66;0.1061
"fd386aa7bed2af3c7035c65506c9b4a3";21.25;8;76;0.1053
"14d7985702e72162bbf13b6beb74ab2b";34.75;4;38;0.1053
"54c04bdb5ec46762f8f08c7e8f86ed4a";44.5;2;19;0.1053
"7bac63f6603d382cc8d0832eb6c100a8";54.5;2;19;0.1053
"863d2ebcd347ce4922de7a0f9a5581d6";36.5;2;19;0.1053
"cb5df0dcb9e280b1780e9d589889f2c7";39.5;2;19;0.1053
"a416b6a846a11724393025641d4edd5e";26.5789;19;181;0.105
"4869f7a5dfa277a7dca6462dcf3b52b2";34.3388;121;1156;0.1047
"4c498c7345e89aebad651544829beca0";21.4;5;48;0.1042
"1f1bb1f0859883505541bdd6606193e5";24.6667;3;29;0.1034
"7ecd59e5e20407131822c1a68ac59c1f";28.6667;3;29;0.1034
"f12ff17ad8bbf01ec5c33b17e506649b";29.0;3;29;0.1034
"3db66a856d18a9cba7c9241fc5221c50";29.4;10;97;0.1031
"50c9975695009e5e6473912e83a6d1da";28.2857;7;68;0.1029
"a673821011d0cec28146ea42f5ab767f";31.8667;15;146;0.1027
"5058e8c1e82653974541e83690655b4a";49.625;8;78;0.1026
"070d165398b553f3b4b851c216b8a358";30.5;4;39;0.1026
"0176f73cc1195f367f7b32db1e5b3aa8";38.75;4;39;0.1026
"8444e55c1f13cd5c179851e5ca5ebd00";37.3636;11;109;0.1009
"8e6d7754bc7e0f22c96d255ebda59eba";25.3077;13;130;0.1
"99eaacc9e6046db1c82b163c5f84869f";29.7143;7;70;0.1
"3f3486b61f45078d4f31ee5e43d8c5bb";27.75;4;40;0.1
"b2ac621f0d0322434d04a12b078b9369";32.0;3;30;0.1
"1a932caad4f9d804097d7f8e615baed1";17.3333;3;30;0.1
"d3674f271c91f824f82d24d92011f669";34.0;2;20;0.1
"392e0502231ae2f8b29994ef6398cd77";47.5;2;20;0.1
"9d39404483343dd55c7ae254494d8388";50.0;1;10;0.1
"1782ce2db72c3dda627d5e7c898104e1";172.0;1;10;0.1
"f8201cab383e484733266d1906e2fdfa";8.0;1;10;0.1
"9dd59e43f0c9f0553244e8f9c2fb247e";32.0;1;10;0.1
"180c3376aff0e43dd5788709df48a843";35.0;1;10;0.1
"f1b93673502375d491780bb49d615dbc";33.0;1;10;0.1
"3968920b9aa752ab98f7d5888c9252f2";33.0;1;10;0.1
"56e361f411e38dcef17cdc2a3d99628b";16.0;1;10;0.1
"7fdb0720c8d7c9075538b365dc8c3a22";36.0;1;10;0.1
"f5f46307a4d15880ca14fab4ad9dfc9b";33.0;1;10;0.1
"2d2322d842118867781fc737e96d59a1";22.0;1;10;0.1
"fe1bbc5feda5c8979a8a1b3b2512d5a6";25.0;1;10;0.1
"b127efdabeffb5d559349c7b172eb75d";22.0;1;10;0.1
"04fdea0c111866e6cf812f1570d6b5bd";38.0;1;10;0.1
"55c96925041a14097b6a7825554f4ad5";15.0;1;10;0.1
"d7485b33791774c36108f8c69602d48d";34.0;1;10;0.1
"5b2e94f2c22b39ccc24d34ad0f669672";22.0;1;10;0.1
